,Compound,SMILES,Electrical Conductivity (S/m),Electrical Conductivity Error (S/m),Viscosity (Pa*s),Viscosity Error (Pa*s),Density (kg/m^3),Density Error (kg/m^3),Cation SMILES,Anion SMILES,Cation radii using Mordred McGowan volume,Anion radii using Mordred McGowan volume,Cation radii using RDKit DCLV van der Waals volume,Anion radii using RDKit DCLV van der Waals volume,Cation radii using RDKit computeMolVolume,Anion radii using RDKit computeMolVolume,Cation radii using RDKit DCLV van der Waals volume & surface area,Anion radii using RDKit DCLV van der Waals volume & surface area,Cation Family,Longest Alkyl Chain
27,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,6.2,0.06,0.007908,7.3e-05,1239.0,1.1,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2.860572743594244e-10,2.0087091434413743e-10,3.0471928320777747e-10,2.23770617099622e-10,3.041292656404585e-10,2.3236294912256152e-10,2.4943289920101594e-10,1.8350636936828083e-10,imidazolium,2
28,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,0.7168,0.0057,0.0952,0.0011,1299.1,1.1,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2.860572743594244e-10,2.0087091434413743e-10,3.047930015829601e-10,2.2394517463029959e-10,3.040053251530633e-10,2.3259852788088047e-10,2.4946770273621127e-10,1.833260454060285e-10,imidazolium,2
29,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1.54,0.02,0.03231,0.0003,1276.9,0.5,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2.860572743594244e-10,2.0087091434413743e-10,3.0471326057196724e-10,2.2390708329419176e-10,3.0404664987662727e-10,2.3264558640785987e-10,2.493748664436162e-10,1.834335398350344e-10,imidazolium,2
30,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1.99,0.02,0.02319,0.00021,1271.9,1.1,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2.860572743594244e-10,2.0087091434413743e-10,3.0468274048183915e-10,2.2377573754551007e-10,3.040604222884812e-10,2.3273964639138656e-10,2.498034955575361e-10,1.8328806944481584e-10,imidazolium,2
31,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,2.55,0.02,0.01735,0.00016,1264.4,1.1,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2.860572743594244e-10,2.0087091434413743e-10,3.0477283511902223e-10,2.2396618985822144e-10,3.0404664987662727e-10,2.330682591065189e-10,2.495529662641009e-10,1.8324632745458279e-10,imidazolium,2
32,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,2.95,0.02,0.01342,0.00012,1257.0,1.1,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2.860572743594244e-10,2.0087091434413743e-10,3.0466901721543825e-10,2.2401001650312606e-10,3.0444554435320445e-10,2.3302137115894646e-10,2.496089425843569e-10,1.8338752810057536e-10,imidazolium,2
33,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,3.65,0.03,0.010682,9.8e-05,1249.7,1.1,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2.860572743594244e-10,2.0087091434413743e-10,3.0465356647983727e-10,2.2379748426004947e-10,3.0407419345280565e-10,2.327278930509772e-10,2.4926969369152233e-10,1.831734318309843e-10,imidazolium,2
34,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,4.35,0.03,0.008695,8e-05,1242.6,1.1,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2.860572743594244e-10,2.0087091434413743e-10,3.0468953202156395e-10,2.2397982786155715e-10,3.0403287621696127e-10,2.3289233191171965e-10,2.4930701401234136e-10,1.8350480099567127e-10,imidazolium,2
35,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1.1433,0.091,0.0379,0.002,1283.5,0.6,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2.860572743594244e-10,2.0087091434413743e-10,3.0480160381283213e-10,2.2375152119236103e-10,3.040948478607929e-10,2.327866478863568e-10,2.494380323632202e-10,1.8322684340831599e-10,imidazolium,2
36,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1.592,0.13,0.0269,0.0014,1276.0,0.6,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2.860572743594244e-10,2.0087091434413743e-10,3.0464127263196077e-10,2.235804827912132e-10,3.0419119802045736e-10,2.3256322148569927e-10,2.49323312215532e-10,1.8341557599848616e-10,imidazolium,2
37,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,2.109,0.17,0.0219,0.0002,1268.5,0.6,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2.860572743594244e-10,2.0087091434413743e-10,3.047605550763407e-10,2.2395100093275039e-10,3.040948478607929e-10,2.3269262590495287e-10,2.49444340397687e-10,1.8344885048489983e-10,imidazolium,2
38,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,2.686,0.21,0.0166,0.0002,1261.0,0.6,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2.860572743594244e-10,2.0087091434413743e-10,3.0484575339444124e-10,2.240042217432828e-10,3.04053536238513e-10,2.3283363040902846e-10,2.4947900796030794e-10,1.8353498832136768e-10,imidazolium,2
39,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,3.985,0.32,0.0102,0.0001,1246.0,0.6,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2.860572743594244e-10,2.0087091434413743e-10,3.048653075775398e-10,2.2369629619676003e-10,3.0434248221115437e-10,2.3257499147516648e-10,2.4929417447302997e-10,1.8337568486782688e-10,imidazolium,2
40,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,4.691,0.38,0.00805,0.00044,1239.0,0.6,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2.860572743594244e-10,2.0087091434413743e-10,3.0465762058934644e-10,2.2358921473621856e-10,3.0403976320278846e-10,2.3285711456173286e-10,2.4961004081316187e-10,1.83110700225704e-10,imidazolium,2
41,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1.16,0.01,0.04734,0.00044,1283.5,0.5,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2.860572743594244e-10,2.0087091434413743e-10,3.047547857081613e-10,2.2381585672717127e-10,3.0414991256962183e-10,2.3310341269062776e-10,2.495545241686982e-10,1.8338307990778207e-10,imidazolium,2
42,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1.63,0.001,0.0369,0.0012,1279.6,1.1,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2.860572743594244e-10,2.0087091434413743e-10,3.047717399481054e-10,2.2389022996789167e-10,3.041843178902213e-10,2.325514503047567e-10,2.494524965198005e-10,1.8343480721121167e-10,imidazolium,2
43,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.207,0.026,0.1061,0.0044,1451.8,0.8,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.11189301388811e-10,3.004526117135466e-10,3.2959040436989397e-10,3.227056867567372e-10,3.3053945994259077e-10,3.3363931410472314e-10,2.5431507435316434e-10,2.3033400783639966e-10,imidazolium,4
