anion_sigma_moment_2,anion_sigma_moment_1,Pressure (kPa),cation_sigma_moment_1,cation_WANS,anion_sigma_moment_hb_donor,cation_sigma_moment_0,cation_sigma_moment_3,cation_sigma_moment_hb_acceptor,anion_sigma_moment_0,Temperature (K),anion_sigma_moment_3,anion_WAPS,cation_sigma_moment_hb_donor,anion_sigma_moment_hb_acceptor,cation_sigma_moment_2
1.1071736894584104e-05,0.0010001897633883,101.325,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,283.1,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
1.1071736894584104e-05,0.0010001897633883,101.325,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,293.1,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
1.1071736894584104e-05,0.0010001897633883,101.325,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,298.1,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
1.1071736894584104e-05,0.0010001897633883,101.325,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,333.1,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
1.1071736894584104e-05,0.0010001897633883,101.325,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,288.15,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
1.1071736894584104e-05,0.0010001897633883,101.325,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,298.15,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
1.1071736894584104e-05,0.0010001897633883,101.325,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,308.15,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
1.1071736894584104e-05,0.0010001897633883,101.325,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,318.15,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
1.1071736894584104e-05,0.0010001897633883,101.325,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,328.15,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
1.1071736894584104e-05,0.0010001897633883,101.325,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,338.15,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
1.1071736894584104e-05,0.0010001897633883,101.325,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,348.15,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
