anion_S3,cation_S5,anion_S2,cation_S6,anion_S4,cation_S2,cation_S8,cation_S3,Temperature (K),anion_S6,cation_S7,Pressure (kPa),cation_S4,anion_S5,anion_S7,anion_S1,anion_S8,cation_S1,anion_sigma_moment_2,anion_sigma_moment_1,cation_sigma_moment_1,cation_WANS,anion_sigma_moment_hb_donor,cation_sigma_moment_0,cation_sigma_moment_3,cation_sigma_moment_hb_acceptor,anion_sigma_moment_0,anion_sigma_moment_3,anion_WAPS,cation_sigma_moment_hb_donor,anion_sigma_moment_hb_acceptor,cation_sigma_moment_2
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,283.1,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0,1.1071736894584104e-05,0.0010001897633883,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,293.1,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0,1.1071736894584104e-05,0.0010001897633883,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,298.1,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0,1.1071736894584104e-05,0.0010001897633883,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,333.1,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0,1.1071736894584104e-05,0.0010001897633883,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,288.15,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0,1.1071736894584104e-05,0.0010001897633883,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,298.15,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0,1.1071736894584104e-05,0.0010001897633883,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,308.15,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0,1.1071736894584104e-05,0.0010001897633883,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,318.15,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0,1.1071736894584104e-05,0.0010001897633883,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,328.15,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0,1.1071736894584104e-05,0.0010001897633883,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,338.15,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0,1.1071736894584104e-05,0.0010001897633883,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
