anion_S3,cation_S5,anion_S2,cation_S6,anion_S4,cation_S2,cation_S8,cation_S3,Temperature (K),anion_S6,cation_S7,Pressure (kPa),cation_S4,anion_S5,anion_S7,anion_S1,anion_S8,cation_S1
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,283.1,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,293.1,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,298.1,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,333.1,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,288.15,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,298.15,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,308.15,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,318.15,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,328.15,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,338.15,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,348.15,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,358.15,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,278.15,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,303.15,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,313.15,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0
