input_features,Linear L1,XGBoost
RDKit,0.0108373971044711,0.010778599909079
sigma profiles,0.0200086285387079,0.0149135691234526
"M$_i$, WAPS & WANS",0.0105485233089755,0.0034916643595855
S$_i$,0.0065699662099587,0.0150014887261231
