,Cation S_5,Longest Alkyl Chain (Cation)
0,0.0117716362320399,2
1,0.0117716362320399,2
2,0.0117716362320399,2
3,0.0117716362320399,2
4,0.0117716362320399,2
5,0.0117716362320399,2
6,0.0117716362320399,2
7,0.0117716362320399,2
8,0.0117716362320399,2
9,0.0117716362320399,2
10,0.0117716362320399,2
11,0.0117716362320399,2
12,0.0117716362320399,2
13,0.0117716362320399,2
14,0.0117716362320399,2
15,0.0117716362320399,2
16,0.0117716362320399,2
17,0.0117716362320399,2
18,0.0117716362320399,2
19,0.0117716362320399,2
20,0.0117716362320399,2
21,0.0117716362320399,2
22,0.0117716362320399,2
23,0.0117716362320399,2
24,0.0117716362320399,2
25,0.0117716362320399,2
26,0.0117716362320399,2
27,0.0278056147194438,4
28,0.0278056147194438,4
29,0.0278056147194438,4
30,0.0278056147194438,4
31,0.0278056147194438,4
32,0.0278056147194438,4
33,0.0278056147194438,4
34,0.0278056147194438,4
35,0.0278056147194438,4
36,0.0278056147194438,4
37,0.0278056147194438,4
38,0.0278056147194438,4
39,0.0278056147194438,4
40,0.0278056147194438,4
41,0.0278056147194438,4
42,0.0278056147194438,4
43,0.0278056147194438,4
44,0.0278056147194438,4
45,0.0278056147194438,4
46,0.0278056147194438,4
47,0.0278056147194438,4
48,0.0278056147194438,4
49,0.0278056147194438,4
50,0.0278056147194438,4
51,0.0278056147194438,4
52,0.0278056147194438,4
53,0.0278056147194438,4
54,0.0278056147194438,4
55,0.0278056147194438,4
56,0.0278056147194438,4
57,0.0278056147194438,4
58,0.0278056147194438,4
59,0.0278056147194438,4
60,0.0278056147194438,4
61,0.0278056147194438,4
62,0.0278056147194438,4
63,0.0278056147194438,4
64,0.0278056147194438,4
65,0.0278056147194438,4
66,0.0278056147194438,4
67,0.0278056147194438,4
68,0.0278056147194438,4
69,0.0278056147194438,4
70,0.0278056147194438,4
71,0.0278056147194438,4
72,0.0278056147194438,4
73,0.0278056147194438,4
74,0.0278056147194438,4
75,0.0278056147194438,4
76,0.0278056147194438,4
77,0.0459758488050939,6
78,0.0459758488050939,6
