input_features,Linear L1,XGBoost
RDKit,0.0960345257498572,0.0727612467182909
sigma profiles,0.183930145935896,0.1086064694942248
"M$_i$, WAPS & WANS",0.1653465285997864,0.0685394877132883
S$_i$,0.1100996182373036,0.0796201711628404
