sigmas,areas
-0.03,0.0
-0.028999999999999998,0.0
-0.027999999999999997,0.0
-0.026999999999999996,0.0
-0.025999999999999995,0.0
-0.024999999999999994,0.0
-0.023999999999999994,0.0
-0.022999999999999993,0.0
-0.021999999999999992,0.0
-0.02099999999999999,0.0
-0.01999999999999999,0.0
-0.01899999999999999,0.0
-0.017999999999999988,0.0
-0.016999999999999987,0.0
-0.015999999999999986,0.0
-0.014999999999999986,0.0
-0.013999999999999985,0.0
-0.012999999999999984,0.0
-0.011999999999999983,0.0
-0.010999999999999982,0.0
-0.009999999999999981,0.0
-0.00899999999999998,0.0
-0.00799999999999998,0.0
-0.0069999999999999785,0.0
-0.005999999999999978,0.0
-0.004999999999999977,0.0
-0.003999999999999976,0.0
-0.002999999999999975,0.0
-0.001999999999999974,0.0
-0.0009999999999999731,0.0
2.7755575615628914e-17,0.0
0.0010000000000000286,0.0
0.0020000000000000295,0.0
0.0030000000000000304,0.0
0.004000000000000031,0.0
0.005000000000000032,0.0615441839226866
0.006000000000000033,1.3294975488030223
0.007000000000000034,2.3442772330491404
0.008000000000000035,2.884177470424841
0.009000000000000036,3.034651483470194
0.010000000000000037,13.293694921619851
0.011000000000000038,34.758764469157434
0.012000000000000038,32.154291923109746
0.01300000000000004,1.8442286135119466
0.01400000000000004,0.0
0.015000000000000041,0.0
0.016000000000000042,0.0
0.017000000000000043,0.0
0.018000000000000044,0.0
0.019000000000000045,0.0
0.020000000000000046,0.0
0.021000000000000046,0.0
0.022000000000000047,0.0
0.023000000000000048,0.0
0.02400000000000005,0.0
0.02500000000000005,0.0
0.02600000000000005,0.0
0.027000000000000052,0.0
0.028000000000000053,0.0
0.029000000000000054,0.0
