sigmas,areas
-0.03,0.0
-0.028999999999999998,0.0
-0.027999999999999997,0.0
-0.026999999999999996,0.0
-0.025999999999999995,0.0
-0.024999999999999994,0.0
-0.023999999999999994,0.0
-0.022999999999999993,0.0
-0.021999999999999992,0.0
-0.02099999999999999,0.0
-0.01999999999999999,0.0
-0.01899999999999999,0.0
-0.017999999999999988,0.0
-0.016999999999999987,0.0
-0.015999999999999986,0.0
-0.014999999999999986,0.7698349571062297
-0.013999999999999985,4.217282166327034
-0.012999999999999984,2.5473220599895106
-0.011999999999999983,6.957683425383933
-0.010999999999999982,5.894704777061807
-0.009999999999999981,7.094390025999775
-0.00899999999999998,15.071841208709001
-0.00799999999999998,14.167994965693435
-0.0069999999999999785,13.233611324009715
-0.005999999999999978,18.92339077303638
-0.004999999999999977,19.797261337036787
-0.003999999999999976,19.10346286816454
-0.002999999999999975,11.966334624465432
-0.001999999999999974,7.242915809811312
-0.0009999999999999731,6.117261751825729
2.7755575615628914e-17,7.601270634650567
0.0010000000000000286,6.60947974533827
0.0020000000000000295,1.3615211693763787
0.0030000000000000304,0.0
0.004000000000000031,0.0
0.005000000000000032,0.0
0.006000000000000033,0.0
0.007000000000000034,0.0
0.008000000000000035,0.0
0.009000000000000036,0.0
0.010000000000000037,0.0
0.011000000000000038,0.0
0.012000000000000038,0.0
0.01300000000000004,0.0
0.01400000000000004,0.0
0.015000000000000041,0.0
0.016000000000000042,0.0
0.017000000000000043,0.0
0.018000000000000044,0.0
0.019000000000000045,0.0
0.020000000000000046,0.0
0.021000000000000046,0.0
0.022000000000000047,0.0
0.023000000000000048,0.0
0.02400000000000005,0.0
0.02500000000000005,0.0
0.02600000000000005,0.0
0.027000000000000052,0.0
0.028000000000000053,0.0
0.029000000000000054,0.0
