,Cation S_5 (Ammonium Cation Family),Anion S_7 (Ammonium Cation Family),Ionicity (Ammonium Cation Family)
0,0.0186528847854063,0.0,0.7005269823049385
1,0.0186528847854063,0.0,0.8049728562577042
2,0.0186528847854063,0.0,0.8788310062755536
3,0.0186528847854063,0.0,0.9479147513067224
4,0.0186528847854063,0.0,1.0145770775092604
5,0.0186528847854063,0.0,1.0517577725470588
6,0.0186528847854063,0.0,1.0526671058835584
7,0.0186528847854063,0.0,1.0803668415400307
8,0.0186528847854063,0.0,1.057249899663635
9,0.0186528847854063,0.0,1.0316176584575183
10,0.0186528847854063,0.0,1.0099627566759826
11,0.0186528847854063,0.0,0.9911273951389435
12,0.0186528847854063,0.0,0.9714339708655216
13,0.0186528847854063,0.0,0.92032746240103
14,0.0186528847854063,0.0,1.2855157298572173
15,0.0186528847854063,0.0,1.2072049190444611
16,0.0186528847854063,0.0,1.147245981978663
17,0.0186528847854063,0.0,1.0872542852974068
18,0.0186528847854063,0.0,1.0338194764747874
19,0.0186528847854063,0.0,0.9805417318850812
20,0.0186528847854063,0.0,0.9486467936763576
21,0.0186528847854063,0.0,1.4097269247341826
22,0.0441530185746882,0.032679172271001,0.3127521656052539
23,0.0441530185746882,0.032679172271001,0.2868770407705147
24,0.0441530185746882,0.032679172271001,0.2808331365812908
25,0.0441530185746882,0.032679172271001,0.2716853631771478
26,0.0441530185746882,0.032679172271001,0.261893135572658
27,0.0441530185746882,0.032679172271001,0.264170985551293
28,0.0441530185746882,0.032679172271001,0.2536431468979959
29,0.0441530185746882,0.032679172271001,0.241507165800584
30,0.0441530185746882,0.032679172271001,0.2380418219535555
31,0.0441530185746882,0.032679172271001,0.2222031116944421
32,0.0441530185746882,0.032679172271001,0.2135008441215509
33,0.0441530185746882,0.032679172271001,0.2017937676949241
34,0.0441530185746882,0.032679172271001,0.1947399962114618
35,0.0593512602140614,0.0038547845184303,0.380172278652082
36,0.0593512602140614,0.0038547845184303,0.3352031958001887
37,0.0593512602140614,0.0038547845184303,0.3162668432492814
38,0.0593512602140614,0.0038547845184303,0.3123079076620727
39,0.0593512602140614,0.0038547845184303,0.3190751329915929
40,0.0593512602140614,0.0038547845184303,0.2907222639812614
41,0.0593512602140614,0.0038547845184303,0.2964255456516495
42,0.0593512602140614,0.0038547845184303,0.3224957787853638
43,0.0593512602140614,0.0038547845184303,0.3256084738418666
44,0.0593512602140614,0.0038547845184303,0.3329735151956388
45,0.0593512602140614,0.0038547845184303,0.3408702627580286
46,0.0593512602140614,0.0038547845184303,0.2871455413637798
47,0.0593512602140614,0.0038547845184303,0.2584773363174082
48,0.0593512602140614,0.032679172271001,0.2492027351688262
49,0.0593512602140614,0.032679172271001,0.2327397069928873
50,0.0593512602140614,0.032679172271001,0.2287339386333403
51,0.0593512602140614,0.032679172271001,0.2262285061332687
52,0.0593512602140614,0.032679172271001,0.2211871182505058
53,0.0593512602140614,0.032679172271001,0.2114537800953359
54,0.0593512602140614,0.032679172271001,0.1987365288083389
55,0.0593512602140614,0.032679172271001,0.1946517422548761
56,0.0593512602140614,0.032679172271001,0.1881385532115533
57,0.0593512602140614,0.032679172271001,0.1721697303894261
58,0.0593512602140614,0.032679172271001,0.1640641122938884
59,0.0593512602140614,0.032679172271001,0.1530144391681001
60,0.0593512602140614,0.032679172271001,0.1430811726608667
61,0.0441530185746882,0.0,0.365691290565036
62,0.0441530185746882,0.0,0.3336729452072866
63,0.0441530185746882,0.0,0.349638778522251
64,0.0441530185746882,0.0,0.3309633163620635
65,0.0441530185746882,0.0,0.3258365125930421
66,0.0441530185746882,0.0,0.3322278147681833
67,0.0441530185746882,0.0,0.3326150941098746
68,0.0441530185746882,0.0,0.3428173700644349
69,0.0441530185746882,0.0,0.3429194980084898
70,0.0441530185746882,0.0,0.3310224750052458
71,0.0441530185746882,0.0,0.351965632297713
72,0.0441530185746882,0.0,0.3617184008712749
73,0.0189683234914107,0.0,0.8384116234039419
74,0.0189683234914107,0.0,0.8273169933890584
75,0.0189683234914107,0.0,0.8239624620522049
76,0.0189683234914107,0.0,0.8087538767370025
77,0.0189683234914107,0.0,0.7985048923146827
78,0.0189683234914107,0.0,0.7963535296111351
79,0.0189683234914107,0.0,0.7805340496467456
80,0.0189683234914107,0.0,0.7780966120294174
81,0.0189683234914107,0.0,0.7654994341023194
82,0.0189683234914107,0.0,0.7752063881047282
83,0.0189683234914107,0.0,0.7662664976430469
84,0.0189683234914107,0.0,0.7666320070385616
85,0.0189683234914107,0.032679172271001,0.7285946739425748
86,0.0189683234914107,0.032679172271001,0.7190352328118708
87,0.0189683234914107,0.032679172271001,0.7131662342547674
88,0.0189683234914107,0.032679172271001,0.6950616785479384
89,0.0189683234914107,0.032679172271001,0.679514553317324
90,0.0189683234914107,0.032679172271001,0.6697478717229294
91,0.0189683234914107,0.032679172271001,0.658000822473936
92,0.0189683234914107,0.032679172271001,0.651575435599273
93,0.0189683234914107,0.032679172271001,0.6504875993740087
94,0.0189683234914107,0.032679172271001,0.6421652049118647
95,0.0189683234914107,0.032679172271001,0.6378829994632959
96,0.0189683234914107,0.032679172271001,0.6332427585887214
97,0.0189683234914107,0.0038547845184303,0.951330754136286
98,0.0189683234914107,0.0038547845184303,0.9335662909011884
99,0.0189683234914107,0.0038547845184303,0.8997726240708
100,0.0189683234914107,0.0038547845184303,0.9094819939382088
101,0.0189683234914107,0.0038547845184303,0.8729917096095035
102,0.0189683234914107,0.0038547845184303,0.8325986718996204
103,0.0189683234914107,0.0038547845184303,0.8177144871829863
